0 0 0 , 477 380 0
0 8 0 , 483 491 0
0 16 0 , 490 613 0
0 24 0 , 497 724 0
0 32 0 , 505 844 0
0 40 0 , 511 952 0
0 48 0 , 517 1070 0
0 56 0 , 524 1176 0
0 64 0 , 531 1292 0
0 72 0 , 538 1397 0
0 80 0 , 545 1511 0
0 88 0 , 551 1613 0
0 96 0 , 558 1725 0
0 104 0 , 565 1825 0
0 112 0 , 571 1935 0
0 120 0 , 577 2034 0
0 128 0 , 584 2141 0
0 136 0 , 587 384 0
0 144 0 , 589 2239 0
0 152 0 , 593 496 0
0 160 0 , 596 2345 0
0 168 0 , 600 617 0
0 176 0 , 600 2441 0
0 184 0 , 606 728 0
0 192 0 , 606 2546 0
0 200 0 , 612 2640 0
0 208 0 , 613 846 0
0 216 0 , 618 954 0
0 224 0 , 618 2744 0
0 232 0 , 623 2838 0
0 240 0 , 624 1071 0
0 248 0 , 629 2940 0
8 0 0 , 631 1177 0
8 8 0 , 635 3031 0
8 16 0 , 638 1292 0
8 24 0 , 640 3132 0
8 32 0 , 644 1397 0
8 40 0 , 645 3222 0
8 48 0 , 651 1510 0
8 56 0 , 651 3320 0
8 64 0 , 656 3409 0
8 72 0 , 657 1612 0
8 80 0 , 663 1723 0
8 88 0 , 663 3502 0
8 96 0 , 669 1823 0
8 104 0 , 669 3584 0
8 112 0 , 675 1931 0
8 120 0 , 681 2030 0
8 128 0 , 687 2136 0
8 136 0 , 692 2233 0
8 144 0 , 698 2339 0
8 152 0 , 703 2433 0
8 160 0 , 707 392 0
8 168 0 , 709 2538 0
8 176 0 , 713 502 0
8 184 0 , 713 2632 0
8 192 0 , 719 623 0
8 200 0 , 719 2735 0
8 208 0 , 723 2828 0
8 216 0 , 724 729 0
8 224 0 , 729 2930 0
8 232 0 , 730 849 0
8 240 0 , 734 3021 0
8 248 0 , 735 956 0
16 0 0 , 739 3120 0
16 8 0 , 741 1072 0
16 16 0 , 744 3209 0
16 24 0 , 747 1179 0
16 32 0 , 750 3307 0
16 40 0 , 753 1292 0
16 48 0 , 755 3394 0
16 56 0 , 759 1396 0
16 64 0 , 760 3487 0
16 72 0 , 765 1509 0
16 80 0 , 765 3569 0
16 88 0 , 770 1610 0
16 96 0 , 776 1720 0
16 104 0 , 782 1819 0
16 112 0 , 787 1927 0
16 120 0 , 792 2025 0
16 128 0 , 798 2131 0
16 136 0 , 802 2227 0
16 144 0 , 808 2332 0
16 152 0 , 813 2425 0
16 160 0 , 816 400 0
16 168 0 , 818 2529 0
16 176 0 , 820 508 0
16 184 0 , 822 2622 0
16 192 0 , 826 628 0
16 200 0 , 827 2724 0
16 208 0 , 831 736 0
16 216 0 , 831 2817 0
16 224 0 , 836 853 0
16 232 0 , 836 2918 0
16 240 0 , 841 3008 0
16 248 0 , 842 960 0
